candidate_id,support,tail_sum_SK,ratio_D1,ratio_D2,ratio_D3,ratio_D4,ratio_D5,ratio_D6,best_denominator,best_ratio,denominator_family_pass
lambda_abs2_omega_top2:ti8:c309:lag8,33,0.5559095199182237,24653.745553769695,151.680147743122,,259.7567485524599,17.247415129744457,,D5,17.247415129744457,bounded_not_lt_1
lambda_abs2_omega_top2:ti8:c309:lag8,49,0.5801540060031246,25728.951805152083,158.29526603045554,,187.3861904046586,8.978687205667612,,D5,8.978687205667612,bounded_not_lt_1
lambda_abs2_omega_top2:ti8:c309:lag8,65,0.5878746213472577,26071.349406547335,160.40183919408508,,138.57701985488347,5.610898599156869,,D5,5.610898599156869,bounded_not_lt_1
lambda_abs2_omega_top2:ti9:c431:lag8,33,0.5077882111525508,14882.666530141609,104.18720928159398,,194.6281353575972,11.520633391179702,,D5,11.520633391179702,bounded_not_lt_1
lambda_abs2_omega_top2:ti9:c431:lag8,49,0.5607000643669553,16310.100650288285,114.80532083000541,,123.4247190193895,6.3654835107310275,,D5,6.3654835107310275,bounded_not_lt_1
lambda_abs2_omega_top2:ti9:c431:lag8,65,0.5723634362382756,16649.374321244166,117.19343746266243,,91.50170783291134,4.0130260537632845,,D5,4.0130260537632845,bounded_not_lt_1
lambda_frac0p2_omega_top2:ti7:c185:lag4,33,0.7613016692548643,35896.62135759915,193.82475380104034,,270.7710925164632,22.56345825487172,,D5,22.56345825487172,bounded_not_lt_1
lambda_frac0p2_omega_top2:ti7:c185:lag4,49,0.8001655218943394,37729.11570121752,203.7193553418185,,204.20373247764977,12.285586922958407,,D5,12.285586922958407,bounded_not_lt_1
lambda_frac0p2_omega_top2:ti7:c185:lag4,65,0.8087680710268426,38134.739991023496,205.90953439304894,,156.34701529058032,7.752555539675932,,D5,7.752555539675932,bounded_not_lt_1
lambda_abs2_omega_top2:ti12:c65:lag8,33,0.3859448316253863,4707.615525898985,53.514538034697516,,64.49181722413319,2.374169983307526,,D5,2.374169983307526,bounded_not_lt_1
lambda_abs2_omega_top2:ti12:c65:lag8,49,0.5609907068451105,5348.189649112043,63.92583558207187,,37.78779601193962,2.069767337004123,,D5,2.069767337004123,bounded_not_lt_1
lambda_abs2_omega_top2:ti12:c65:lag8,65,0.6173813023001408,5885.7878574957795,70.35163887871843,,19.670306042004057,1.2681433660094525,,D5,1.2681433660094525,bounded_not_lt_1
lambda_frac0p2_omega_top2:ti12:c17:lag8,33,0.3485052651480056,10460.004865549681,112.17579269390484,,152.694902349714,3.8256597928169453,,D5,3.8256597928169453,bounded_not_lt_1
lambda_frac0p2_omega_top2:ti12:c17:lag8,49,0.4810452455242504,12001.830808265599,127.05514212619684,,71.62483596160045,2.9284667294651285,,D5,2.9284667294651285,bounded_not_lt_1
lambda_frac0p2_omega_top2:ti12:c17:lag8,65,0.5147869650019359,12843.669309152987,135.96710831587924,,34.655661773633774,1.7398857842921158,,D5,1.7398857842921158,bounded_not_lt_1
